ticket_intent,ticket_intent_detail,knowledge_type,knowledge_id,knowledge_title,nb_tickets_used_in_28d
Order:Cancel,Cancel order requests before shipment,guidance,5946922,When a shopper asks about the Loyalty Program (PART 2),1
Exchange:Request,Exchange for Unwanted Gift Items,external_snippet,4440567,What is your warranty policy?,1
Order:Other,Invoice Requests for Orders,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Account:Login,Password Reset Email Not Received,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,1
Order:Edit,Modifying order items or gift packaging,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Order:Refund,Refund requests for damaged or defective jewelry,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Missing Item,Missing Reversible Clasp,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Other:Other,Piercing Appointments For Minors With Parental Consent,external_snippet,10386959,Can minors get piercings?,1
Warranty:Claim,Warranty claims with detailed defect documentation,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Return:Status,Unreceived Refund After Returning Item,guidance,6130658,If a shopper asks about returns,1
Order:Missing Item,Missing Reversible Clasp,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Product:Details,Piercing Compatibility Materials and Procedures,external_snippet,6143907,Can I put a piercing on my earlobe?,1
Account:Login,Password Reset Email Not Received,guidance,7253294,"When a shopper asks to create, edit, suppress or merge accounts",1
Order:Missing Item,Received Empty Package,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Placement,Order Price Discrepancies and Assistance,external_snippet,6143905,Why do you sell your jewelry individually and not in pairs?,1
Warranty:Claim,Warranty claims with detailed defect documentation,external_snippet,4440567,What is your warranty policy?,1
Return:Status,Unreceived Refund After Returning Item,external_snippet,10386901,What is the return and refund policy?,1
Promotion & Discount:Issue,Loyalty Reward Redemption Failures,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Other:Other,Affiliate program payment inquiries,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,1
Promotion & Discount:Issue,Loyalty Points Deduction Issues,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Shipping:Information,Delivery Timeframe Requests,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Warranty:Claim,Warranty Coverage and Process Clarifications,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Status,Unreceived Replacement Orders,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Account:Other,Account Purchase History Transfer Requests,guidance,7253294,"When a shopper asks to create, edit, suppress or merge accounts",1
Order:Edit,Modifying product quantities or selections,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Cancel,Cancel orders placed by mistake,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,1
Other:Other,Parental consent for child piercing,external_snippet,10386959,Can minors get piercings?,1
Promotion & Discount:Information,Referral Program Reward Availability,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Promotion & Discount:Issue,Loyalty Points Redemption Technical Issues,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Order:Payment,Customs fees payment clarification,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Warranty:Information,Warranty coverage for jewelry defects,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Exchange:Status,Exchange Item Shipment Concerns,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Refund,Refund Requests for Tariffs and Missing Packages,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Product:Usage,Piercing Jewelry Positioning,external_snippet,4440829,What distinguishes Nébuleuse's approach to piercing?,1
Return:Status,Verification of Refund Amounts,guidance,6130658,If a shopper asks about returns,1
Account:Other,Affiliate Commission Payment Status,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,1
Other:Other,General Customer Service Response Requests,guidance,7321695,When a shopper asks when a product will be back in stock,1
Promotion & Discount:Information,First Order Discount Code Requests,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Product:Usage,Piercing Jewelry Attachment Methods,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Order:Status,E-Gift Card Delivery Delays,guidance,6124682,When a shopper asks about the gift card,1
Product:Quality Issues,Jewelry Malfunction And Defect Reports,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Product:Quality Issues,Fitting Issues with Piercing Jewelry,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Promotion & Discount:Information,Loyalty Program Discounts,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Product:Quality Issues,Piercing Implant Issues,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Promotion & Discount:Information,Combining Loyalty and Seasonal Discounts,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Return:Request,Return for Exchange Requests,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Account:Other,Fidelity Points Redemption Issues,guidance,5946922,When a shopper asks about the Loyalty Program (PART 2),1
